lat,lon
42.345687,-71.073717
42.353614,-71.070141
42.350287,-71.072116
42.351663,-71.073887
42.353995,-71.069548
42.350979,-71.075216
42.346614,-71.07583
42.345189,-71.076849
42.354921,-71.071
42.348728,-71.069075
42.352635,-71.07673
42.35226,-71.075197
42.34744,-71.073116
42.35392,-71.075524
42.354134,-71.068756
42.347947,-71.074892
42.353663,-71.071
42.352741,-71.076246
42.346135,-71.073595
42.354884,-71.065998
42.352935,-71.069263
42.354863,-71.067032
42.349959,-71.066991
42.35494,-71.112349
42.350992,-71.067397
42.356503,-71.063331
42.353383,-71.058969
42.355642,-71.106267
42.354881,-71.054987
42.354662,-71.052611
42.355691,-71.069846
42.357564,-71.071354
42.357246,-71.097373
42.366031,-71.097489
42.358632,-71.104641
42.368233,-71.101386
42.366827,-71.23566
42.367553,-71.068199
42.369881,-71.063698
42.368609,-71.069349
42.364333,-71.064666
42.362855,-71.065144
42.364417,-71.063415
42.371187,-71.069727
